<<<<<<< HEAD
date, pm25
2020/5/1,161
2020/5/2,147
2020/5/3,84
2020/5/4,51
2020/5/5,79
2020/5/6,109
2020/5/7,101
2020/5/8,134
2020/5/9,151
2020/5/10,133
2020/5/11,120
2020/4/1,53
2020/4/2,74
2020/4/3,64
2020/4/4,72
2020/4/5,79
2020/4/6,86
2020/4/7,79
2020/4/8,67
2020/4/9,71
2020/4/10,77
2020/4/11,73
2020/4/12,84
2020/4/13,108
2020/4/14,116
2020/4/15,143
2020/4/16,96
2020/4/17,95
2020/4/18,77
2020/4/19,69
2020/4/20,89
2020/4/21,73
2020/4/22,90
2020/4/23,104
2020/4/24,96
2020/4/25,103
2020/4/26,142
2020/4/27,83
2020/4/28,81
2020/4/29,119
2020/4/30,185
2020/3/1,77
2020/3/2,92
2020/3/3,108
2020/3/4,116
2020/3/5,36
2020/3/6,37
2020/3/7,53
2020/3/8,65
2020/3/9,87
2020/3/10,103
2020/3/11,79
2020/3/12,99
2020/3/13,87
2020/3/14,101
2020/3/15,79
2020/3/16,103
2020/3/17,104
2020/3/18,117
2020/3/19,114
2020/3/20,86
2020/3/21,93
2020/3/22,80
2020/3/23,82
2020/3/24,72
2020/3/25,59
2020/3/26,67
2020/3/27,45
2020/3/28,35
2020/3/29,62
2020/3/30,66
2020/3/31,70
2020/2/1,104
2020/2/2,136
2020/2/3,141
2020/2/4,117
2020/2/5,116
2020/2/6,122
2020/2/7,120
2020/2/8,136
2020/2/9,132
2020/2/10,129
2020/2/11,145
2020/2/12,131
2020/2/13,94
2020/2/14,95
2020/2/15,95
2020/2/16,119
2020/2/17,136
2020/2/18,125
2020/2/19,131
2020/2/20,125
2020/2/21,73
2020/2/22,66
2020/2/23,93
2020/2/24,117
2020/2/25,126
2020/2/26,143
2020/2/27,135
2020/2/28,124
2020/2/29,107
2020/1/1,134
2020/1/3,132
2020/1/4,149
2020/1/5,150
2020/1/6,123
2020/1/7,90
2020/1/8,81
2020/1/9,78
2020/1/10,105
2020/1/11,105
2020/1/12,127
2020/1/13,118
2020/1/14,69
2020/1/15,79
2020/1/16,97
2020/1/17,127
2020/1/18,112
2020/1/19,111
2020/1/20,125
2020/1/21,150
2020/1/22,96
2020/1/23,88
2020/1/24,94
2020/1/25,137
2020/1/26,140
2020/1/27,108
2020/1/28,71
2020/1/29,70
2020/1/30,79
2020/1/31,88
2019/10/1,139
=======
date,sirsa pm 2.5
,
>>>>>>> 8900c112f6bc04378cea47a99ec445629bdc23c9
2019/10/2,155
2019/10/3,149
2019/10/4,82
2019/10/5,138
2019/10/6,155
2019/10/7,120
2019/10/8,124
2019/10/9,159
2019/10/10,165
2019/10/11,175
2019/10/12,171
2019/10/13,200
2019/10/14,186
2019/10/15,189
2019/10/16,238
2019/10/17,265
2019/10/18,215
2019/10/19,170
2019/10/20,169
2019/10/21,190
2019/10/22,203
2019/10/23,217
2019/10/24,219
2019/10/25,226
2019/10/26,260
2019/10/27,269
2019/10/28,341
2019/10/29,286
2019/10/30,229
2019/10/31,263
2019/11/1,474
2019/11/2,650
2019/11/3,437
2019/11/4,353
2019/11/5,254
2019/11/6,198
2019/11/7,92
2019/11/8,95
2019/11/9,94
2019/11/10,155
2019/11/11,180
2019/11/12,272
2019/11/13,256
2019/11/14,309
2019/11/15,154
2019/11/16,85
2019/11/17,94
2019/11/18,125
2019/11/19,169
2019/11/20,206
2019/11/21,171
2019/11/22,165
2019/11/23,144
2019/11/24,145
2019/11/25,136
2019/11/26,134
2019/11/27,73
2019/11/28,84
2019/11/29,105
2019/11/30,128
2019/12/1,166
2019/12/2,161
2019/12/3,148
2019/12/4,172
2019/12/5,173
2019/12/6,174
2019/12/7,150
2019/12/8,154
2019/12/9,164
2019/12/10,164
2019/12/11,170
2019/12/12,165
2019/12/13,102
2019/12/14,95
2019/12/15,102
2019/12/16,79
2019/12/17,97
2019/12/18,113
2019/12/19,120
2019/12/20,119
2019/12/21,122
2019/12/22,108
2019/12/23,108
2019/12/24,136
2019/12/25,153
2019/12/26,156
2019/12/27,162
2019/12/28,148
2019/12/29,140
2019/7/1,182
2019/7/2,135
2019/7/3,186
2019/7/4,188
2019/7/5,284
2019/7/6,111
2019/7/7,112
2019/7/8,169
2019/7/9,221
2019/7/10,174
2019/7/11,243
2019/7/12,295
2019/7/13,206
2019/7/14,166
2019/7/15,143
2019/7/16,105
2019/7/17,93
2019/7/18,138
2019/7/19,104
2019/7/20,139
2019/7/21,179
2019/7/22,139
2019/7/23,211
2019/7/24,156
2019/7/25,94
2019/7/26,101
2019/7/27,122
2019/7/28,100
2019/7/29,84
2019/7/30,122
2019/7/31,125
2019/8/1,124
2019/8/2,112
2019/8/3,140
2019/8/4,156
2019/8/5,134
2019/8/6,100
2019/8/7,140
2019/8/8,131
2019/8/9,121
2019/8/10,66
2019/8/11,81
2019/8/12,135
2019/8/13,82
2019/8/14,147
2019/8/15,145
2019/8/16,111
2019/8/17,92
2019/8/18,43
2019/8/19,117
2019/8/20,175
2019/8/21,102
2019/8/22,105
2019/8/23,115
2019/8/24,128
2019/8/25,159
2019/8/26,124
2019/8/27,122
2019/8/28,145
2019/8/29,159
2019/8/30,145
2019/8/31,158
2019/9/1,152
2019/9/2,131
2019/9/3,138
2019/9/4,129
2019/9/5,174
2019/9/6,100
2019/9/7,161
2019/9/8,157
2019/9/9,187
2019/9/10,180
2019/9/11,172
2019/9/12,172
2019/9/13,197
2019/9/14,178
2019/9/15,146
2019/9/16,170
2019/9/17,154
2019/9/18,140
2019/9/19,131
2019/9/20,128
2019/9/21,134
2019/9/22,128
2019/9/23,102
2019/9/24,111
2019/9/25,117
2019/9/26,103
2019/9/27,117
2019/9/28,93
2019/9/29,96
2019/9/30,97
2019/6/15,178
2019/6/16,218
2019/6/17,137
2019/6/18,111
2019/6/19,147
2019/6/20,153
2019/6/21,132
2019/6/22,174
2019/6/23,164
2019/6/24,155
2019/6/25,237
2019/6/26,112
2019/6/27,138
2019/6/28,132
2019/6/29,166
2019/6/30,162
<<<<<<< HEAD
2019/12/31, 
2020/1/2, 
2019/6/14, 
=======
>>>>>>> 8900c112f6bc04378cea47a99ec445629bdc23c9
